GP	W	L	WIN%	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	+/-	label
82	62	20	.756	48.2	110.4	40.9	85.6	47.7	9.7	24.7	39.3	19.0	25.4	74.8	11.8	32.3	44.1	23.5	13.7	7.0	5.5	4.2	19.1	0.0	7.1	30
82	59	23	.720	48.7	101.5	37.8	77.7	48.6	5.8	15.4	37.7	20.2	30.1	67.2	10.8	32.2	43.0	21.8	13.7	6.4	5.8	3.2	22.1	0.0	6.5	30
82	59	23	.720	48.3	96.2	35.6	78.7	45.3	6.2	17.0	36.3	18.7	25.9	72.4	12.0	30.4	42.4	21.6	13.7	7.5	6.6	5.1	20.9	0.0	7.8	100
82	58	24	.707	48.1	102.5	37.3	81.6	45.7	5.6	15.5	36.4	22.3	28.2	78.9	12.1	30.9	42.9	19.6	13.4	8.6	5.6	4.9	22.3	0.0	5.7	20
82	54	28	.659	48.7	93.3	34.8	78.3	44.4	4.4	12.8	34.5	19.4	26.2	73.9	12.9	30.6	43.4	21.8	13.8	7.0	6.1	4.5	20.0	0.0	3.9	40
82	52	30	.634	48.2	98.9	35.1	79.2	44.4	8.1	22.2	36.5	20.5	26.0	79.0	12.7	28.2	40.9	18.1	13.6	6.7	4.1	4.8	23.7	0.1	2.3	20
82	51	31	.622	48.4	95.1	34.7	78.3	44.3	6.7	18.5	36.4	18.9	24.2	78.1	10.7	31.7	42.4	21.1	13.8	6.9	4.6	4.1	22.0	0.0	4.0	10
82	50	32	.610	48.4	103.7	39.1	85.1	45.9	6.4	17.0	37.4	19.2	24.4	78.7	12.5	29.9	42.4	24.5	13.1	8.2	3.9	4.5	20.5	0.0	2.2	10
82	49	33	.598	48.2	99.5	37.0	80.7	45.9	3.9	11.5	34.0	21.5	28.2	76.3	11.8	30.2	42.0	23.9	14.9	9.1	6.0	5.6	22.9	0.1	2.0	10
82	47	35	.573	48.4	94.5	34.7	80.4	43.2	6.2	17.5	35.7	18.7	25.0	75.0	12.2	31.6	43.8	21.3	16.7	7.0	4.5	5.3	24.7	0.1	1.1	10
82	45	37	.549	48.5	101.3	37.1	79.4	46.8	5.3	15.3	34.9	21.6	28.3	76.4	11.1	29.7	40.8	22.1	15.8	8.1	5.2	4.9	24.4	0.0	0.9	10
